Date,pnl,VaR,ES,hit
2007-02-28,0.005571500000000002,-0.01518424166666667,-0.01518424166666667,0
2007-03-31,-0.0032197500000000004,-0.015254050000000002,-0.015254050000000002,0
2007-04-30,-0.001815250000000002,-0.015379245833333336,-0.015379245833333336,0
2007-05-31,-0.0057950000000000015,-0.015242133333333335,-0.015242133333333335,0
2007-06-30,-0.005388749999999998,-0.015137587500000002,-0.015137587500000002,0
2007-07-31,0.0043209999999999985,-0.014957608333333336,-0.014957608333333336,0
2007-08-31,0.004448250000000003,-0.014977020833333335,-0.014977020833333335,0
2007-09-30,0.00019349999999999316,-0.014877883333333333,-0.014877883333333333,0
2007-10-31,0.003062500000000007,-0.014763675000000002,-0.014763675000000002,0
2007-11-30,0.005855249999999999,-0.014924058333333337,-0.014924058333333337,0
2007-12-31,-0.002996250000000003,-0.015062150000000002,-0.015062150000000002,0
2008-01-31,0.008787500000000004,-0.014853191666666668,-0.014853191666666668,0
2008-02-29,-0.0008487500000000018,-0.014960325000000002,-0.014960325000000002,0
2008-03-31,0.0020080000000000067,-0.014876779166666668,-0.014876779166666668,0
2008-04-30,-0.005478500000000006,-0.014965604166666669,-0.014965604166666669,0
2008-05-31,-0.0066605,-0.014880137500000001,-0.014880137500000001,0
2008-06-30,-0.001574500000000002,-0.014575929166666668,-0.014575929166666668,0
2008-07-31,0.0029182500000000037,-0.014613150000000002,-0.014613150000000002,0
2008-08-31,0.005154,-0.011684500000000004,-0.011684500000000004,0
2008-09-30,0.0029937499999999994,-0.01180619166666667,-0.01180619166666667,0
2008-10-31,0.003636250000000004,-0.011737075000000003,-0.011737075000000003,0
2008-11-30,0.0252545,-0.011908120833333338,-0.011908120833333338,0
2008-12-31,0.009934750000000003,-0.012330729166666669,-0.012330729166666669,0
2009-01-31,-0.012171500000000002,-0.012465716666666671,-0.012465716666666671,0
2009-02-28,0.00011375000000000165,-0.012721933333333338,-0.012721933333333338,0
2009-03-31,0.004166500000000002,-0.012659558333333338,-0.012659558333333338,0
2009-04-30,-0.005647750000000005,-0.012682608333333338,-0.012682608333333338,0
2009-05-31,-0.0127175,-0.012783425000000006,-0.012783425000000006,0
2009-06-30,0.003942750000000001,-0.013178466666666668,-0.013178466666666668,0
2009-07-31,0.0003282499999999987,-0.013240662499999998,-0.013240662499999998,0
2009-08-31,0.003354750000000003,-0.013202074999999999,-0.013202074999999999,0
2009-09-30,0.002541750000000002,-0.013138475,-0.013138475,0
2009-10-31,-0.003325999999999999,-0.013144099999999997,-0.013144099999999997,0
2009-11-30,0.004753249999999999,-0.013060491666666667,-0.013060491666666667,0
2009-12-31,-0.010204249999999998,-0.013154429166666667,-0.013154429166666667,0
2010-01-31,0.004786000000000001,-0.012947945833333334,-0.012947945833333334,0
2010-02-28,0.0016082499999999949,-0.012944816666666666,-0.012944816666666666,0
2010-03-31,-0.0008639999999999979,-0.013025470833333334,-0.013025470833333334,0
2010-04-30,0.00343925,-0.013067191666666669,-0.013067191666666669,0
2010-05-31,0.015324,-0.0130025125,-0.0130025125,0
2010-06-30,-0.0010937500000000014,-0.013189833333333335,-0.013189833333333335,0
2010-07-31,-0.00035775000000000005,-0.013124141666666667,-0.013124141666666667,0
2010-08-31,0.01434575,-0.013188675,-0.013188675,0
2010-09-30,-0.0031252500000000017,-0.013375604166666666,-0.013375604166666666,0
2010-10-31,-0.006728499999999998,-0.013377554166666666,-0.013377554166666666,0
2010-11-30,-0.0036810000000000002,-0.013387654166666667,-0.013387654166666667,0
2010-12-31,-0.009631750000000005,-0.013321379166666666,-0.013321379166666666,0
2011-01-31,-0.0036392499999999928,-0.013101158333333333,-0.013101158333333333,0
2011-02-28,-0.0009675000000000059,-0.013104479166666667,-0.013104479166666667,0
2011-03-31,-0.002854249999999996,-0.013092979166666666,-0.013092979166666666,0
2011-04-30,0.003250499999999999,-0.013178866666666667,-0.013178866666666667,0
2011-05-31,0.0052660000000000024,-0.013325470833333334,-0.013325470833333334,0
2011-06-30,-0.001364500000000002,-0.013427704166666667,-0.013427704166666667,0
2011-07-31,0.00867525,-0.013453370833333334,-0.013453370833333334,0
2011-08-31,0.013023250000000004,-0.013520683333333334,-0.013520683333333334,0
2011-09-30,0.007835000000000002,-0.013650337499999998,-0.013650337499999998,0
2011-10-31,-0.005834000000000002,-0.013730045833333333,-0.013730045833333333,0
2011-11-30,0.0014255000000000001,-0.013647287499999999,-0.013647287499999999,0
2011-12-31,0.0077090000000000014,-0.013616420833333334,-0.013616420833333334,0
2012-01-31,0.00022499999999999902,-0.013838625,-0.013838625,0
2012-02-29,-0.000873249999999999,-0.013921949999999999,-0.013921949999999999,0
2012-03-31,-0.0025495,-0.0138145375,-0.0138145375,0
2012-04-30,0.004315749999999998,-0.013825708333333334,-0.013825708333333334,0
2012-05-31,0.010180000000000002,-0.013927891666666666,-0.013927891666666666,0
2012-06-30,-0.005287999999999998,-0.014194141666666667,-0.014194141666666667,0
2012-07-31,0.005934749999999997,-0.014195820833333333,-0.014195820833333333,0
2012-08-31,-0.0026417499999999974,-0.014222716666666664,-0.014222716666666664,0
2012-09-30,-0.0009124999999999988,-0.01410455,-0.01410455,0
2012-10-31,-0.0019130000000000024,-0.014086116666666667,-0.014086116666666667,0
2012-11-30,0.0021414999999999993,-0.014003191666666666,-0.014003191666666666,0
2012-12-31,-0.00044499999999999857,-0.013941295833333332,-0.013941295833333332,0
2013-01-31,-0.0073215,-0.013983816666666668,-0.013983816666666668,0
2013-02-28,0.0030967499999999997,-0.013715333333333335,-0.013715333333333335,0
2013-03-31,0.0011799999999999994,-0.013781091666666667,-0.013781091666666667,0
2013-04-30,0.003250750000000001,-0.013767291666666667,-0.013767291666666667,0
2013-05-31,-0.008510250000000002,-0.013912779166666667,-0.013912779166666667,0
2013-06-30,-0.0071132500000000015,-0.013881949999999999,-0.013881949999999999,0
2013-07-31,-0.001975249999999999,-0.0137896375,-0.0137896375,0
2013-08-31,-0.0043479999999999994,-0.013708079166666666,-0.013708079166666666,0
2013-09-30,0.0031207500000000003,-0.0135497125,-0.0135497125,0
2013-10-31,0.002081000000000002,-0.013551829166666666,-0.013551829166666666,0
2013-11-30,-0.002739000000000001,-0.013525908333333333,-0.013525908333333333,0
2013-12-31,-0.005286250000000001,-0.013059349999999999,-0.013059349999999999,0
2014-01-31,0.007544,-0.012805666666666665,-0.012805666666666665,0
2014-02-28,0.000401749999999999,-0.013134258333333334,-0.013134258333333334,0
2014-03-31,-7.450000000000124e-05,-0.013139058333333333,-0.013139058333333333,0
2014-04-30,0.001803000000000001,-0.013068375,-0.013068375,0
2014-05-31,0.004457500000000001,-0.013192554166666667,-0.013192554166666667,0
