Date,pnl,VaR,ES,mu,sig,nu,hit
2007-02-28,0.005571500000000002,-0.015308844663684538,-0.01767122854019425,0.0,0.005380322290193374,20.0,0
2007-03-31,-0.0032197500000000004,-0.015428085678594695,-0.01780887022852104,0.0,0.005422229769465686,20.0,0
2007-04-30,-0.001815250000000002,-0.014930256298383494,-0.01723421832336427,0.0,0.005247266696163535,20.0,0
2007-05-31,-0.0057950000000000015,-0.014786349450929086,-0.017068104495330062,0.0,0.005196690363587171,20.0,0
2007-06-30,-0.005388749999999998,-0.01495606723870548,-0.01726401227811966,0.0,0.005256337999752804,20.0,0
2007-07-31,0.0043209999999999985,-0.014970191141620825,-0.017280315710663373,0.0,0.0052613018720337875,20.0,0
2007-08-31,0.004448250000000003,-0.01500685927068615,-0.017322642280897103,0.0,0.00527418895505566,20.0,0
2007-09-30,0.00019349999999999316,-0.01459713196787997,-0.016849687922413023,0.0,0.005130189522791624,20.0,0
2007-10-31,0.003062500000000007,-0.01434764330001185,-0.01656169941871198,0.0,0.005042506260574864,20.0,0
2007-11-30,0.005855249999999999,-0.014186620396730222,-0.01637582827124092,0.0,0.004985914457941125,20.0,0
2007-12-31,-0.002996250000000003,-0.014319259961195473,-0.016528936105870497,0.0,0.005032530882689809,20.0,0
2008-01-31,0.008787500000000004,-0.01391405034513885,-0.016061196580822792,0.0,0.004890119199942652,20.0,0
2008-02-29,-0.0008487500000000018,-0.014248171361461438,-0.016446877471133513,0.0,0.005007546660422861,20.0,0
2008-03-31,0.0020080000000000067,-0.014172228223328951,-0.016359215170059796,0.0,0.0049808563014925936,20.0,0
2008-04-30,-0.005478500000000006,-0.014130094286781135,-0.01631057933643606,0.0,0.004966048250136532,20.0,0
2008-05-31,-0.0066605,-0.014273509474502365,-0.016476125634281035,0.0,0.0050164517879736645,20.0,0
2008-06-30,-0.001574500000000002,-0.013796898960062531,-0.01592596698349107,0.0,0.004848946125011115,20.0,0
2008-07-31,0.0029182500000000037,-0.013742118567259763,-0.01586273315611834,0.0,0.004829693452785532,20.0,0
2008-08-31,0.005154,-0.012672806641855836,-0.014628410395015869,0.0,0.004453881762627873,20.0,0
2008-09-30,0.0029937499999999994,-0.012788432502496476,-0.014761879056657226,0.0,0.004494518689123272,20.0,0
2008-10-31,0.003636250000000004,-0.012502293572859903,-0.014431584607210677,0.0,0.004393954623379777,20.0,0
2008-11-30,0.0252545,-0.01233399287555464,-0.014237312593163106,0.0,0.004334805026329214,20.0,0
2008-12-31,0.009934750000000003,-0.017145412857466954,-0.020468614104381652,0.0,0.0054098888384095855,10.0,0
2009-01-31,-0.012171500000000002,-0.017371590803801764,-0.020666704281058344,0.0,0.005539835224935261,10.5,0
2009-02-28,0.00011375000000000165,-0.017983313070888865,-0.021328062889307386,0.0,0.005790223241825581,11.0,0
2009-03-31,0.004166500000000002,-0.017935691922558103,-0.02127158459509898,0.0,0.00577489030073846,11.0,0
2009-04-30,-0.005647750000000005,-0.017970072403057875,-0.021312359565059925,0.0,0.005785960043920386,11.0,0
2009-05-31,-0.0127175,-0.01745218491006499,-0.020698149214798144,0.0,0.005619211893189895,11.0,0
2009-06-30,0.003942750000000001,-0.018177451127327472,-0.021558309043651063,0.0,0.0058527313393092065,11.0,0
2009-07-31,0.0003282499999999987,-0.01823466046396877,-0.02162615885113266,0.0,0.005871151461861935,11.0,0
2009-08-31,0.003354750000000003,-0.0182110656443188,-0.021598175587127153,0.0,0.005863554459430548,11.0,0
