Date,pnl,VaR,ES,mu,sig,nu,hit
2007-02-28,0.005571500000000002,-0.013858791817617424,-0.015559615543638387,0.0,0.005380322290193374,,0
2007-03-31,-0.0032197500000000004,-0.013966738330764913,-0.01568080981987509,0.0,0.005422229769465686,,0
2007-04-30,-0.001815250000000002,-0.013516063319514259,-0.015174825604045324,0.0,0.005247266696163535,,0
2007-05-31,-0.0057950000000000015,-0.013385787319998024,-0.015028561449585696,0.0,0.005196690363587171,,0
2007-06-30,-0.005388749999999998,-0.013539429449120885,-0.015201059347809319,0.0,0.005256337999752804,,0
2007-07-31,0.0043209999999999985,-0.013552215536801316,-0.015215414611329612,0.0,0.0052613018720337875,,0
2007-08-31,0.004448250000000003,-0.013585410462886324,-0.015252683393102177,0.0,0.00527418895505566,,0
2007-09-30,0.00019349999999999316,-0.013214492505566213,-0.014836244435790184,0.0,0.005130189522791624,,0
2007-10-31,0.003062500000000007,-0.012988635389317523,-0.014582668947906953,0.0,0.005042506260574864,,0
2007-11-30,0.005855249999999999,-0.012842864565752881,-0.014419008363204174,0.0,0.004985914457941125,,0
2007-12-31,-0.002996250000000003,-0.012962940518647223,-0.014553820667744093,0.0,0.005032530882689809,,0
2008-01-31,0.008787500000000004,-0.012596112333059387,-0.014141973400433138,0.0,0.004890119199942652,,0
2008-02-29,-0.0008487500000000018,-0.01289858542680564,-0.014481567581002603,0.0,0.005007546660422861,,0
2008-03-31,0.0020080000000000067,-0.012829835618150818,-0.014404380434717031,0.0,0.0049808563014925936,,0
2008-04-30,-0.005478500000000006,-0.01279169260553942,-0.014361556311249421,0.0,0.004966048250136532,,0
2008-05-31,-0.0066605,-0.012921523515302841,-0.014507320752203911,0.0,0.0050164517879736645,,0
2008-06-30,-0.001574500000000002,-0.01249005752013352,-0.01402290298380553,0.0,0.004848946125011115,,0
2008-07-31,0.0029182500000000037,-0.01244046592284324,-0.013967225245212848,0.0,0.004829693452785532,,0
2008-08-31,0.005154,-0.011472439158718904,-0.0128803971519746,0.0,0.004453881762627873,,0
2008-09-30,0.0029937499999999994,-0.011577112944791914,-0.01299791705488004,0.0,0.004494518689123272,,0
2008-10-31,0.003636250000000004,-0.011318077077365802,-0.012707090945201446,0.0,0.004393954623379777,,0
2008-11-30,0.0252545,-0.01116571781198985,-0.012536033350502074,0.0,0.004334805026329214,,0
