,Z_SPX,Z_EMU,Z_PC1,Z_PC2,Z_PC3
Z_SPX,0.9999999999999999,0.8278416013180452,-0.14602096523321895,0.004415558046079372,0.007873123114488921
Z_EMU,0.8278416013180452,1.0,-0.22654813127406967,0.013204676859567157,0.0596216674931359
Z_PC1,-0.14602096523321895,-0.22654813127406967,1.0,0.01804476031694715,0.029389578938569434
Z_PC2,0.004415558046079372,0.013204676859567157,0.01804476031694715,1.0,-0.04762616413845707
Z_PC3,0.007873123114488923,0.059621667493135896,0.029389578938569434,-0.04762616413845707,1.0
